Bellek Hçzç,Cihaz Aßçrlçßç,Ekran Boyutu,Ekran Kartç Bellek Tipi,Ekran Kartç Hafçzasç,Ekran Kartç Tipi,Ekran Panel Tipi,òülemci Nesli,òülemci,òületim Sistemi,Kart Okuyucu,Aydçnlatma,Maksimum òülemci Hçzç,Max Ekran ÄîzÅnÅrlÅßÅ,Parmak òzi Okuyucu,Ram (Sistem Belleßi),SSD Kapasitesi,örÅn Modeli,Fiyat
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Home,Var,0,4,4 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Pro,Var,0,4,4 GHz,1920 x 1080,Var,16 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Var,16 GB,500 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Pro,Var,0,4,4 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
,2 - 4 kg,14,1 iná,DDR5,Paylaüçmlç,,LTPS,12.Nesil,,Windows 11 Home,,0,4,7 GHz,3072 x 1920,Var,16 GB,0 GB,Notebook,YÅksek
,2 - 4 kg,14,1 iná,DDR5,Paylaüçmlç,,LTPS,12.Nesil,,Windows 11 Home,,0,4,7 GHz,3072 x 1920,Var,16 GB,0 GB,Notebook,YÅksek
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Yok,0,4,4 GHz,1920 x 1080,Yok,16 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Pro,Var,0,4,4 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,16 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,12.Nesil,1255U,Windows 11 Home,Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Pro,Var,0,4,4 GHz,1920 x 1080,Var,16 GB,500 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1240P,Windows 11 Home,Yok,0,4,7 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Home,Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Home,Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,12.Nesil,1255U,Ubuntu,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Home,Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Home,Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Home,Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Pro,Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 10 Home,Var,0,4,7 GHz,1920 x 1080,Yok,32 GB,2 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Home,Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Pro,Var,1,4,4 GHz,1922 x 1080,Yok,8 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Harici Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,32 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,32 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Harici Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,32 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,1,4,7 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,12.Nesil,1255U,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Harici Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,32 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,32 GB,2 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,12.Nesil,1235U,Windows 11 Pro,Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Pro,Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Home,Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,1,4,7 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,12.Nesil,1235U,Windows 11 Pro,Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Yok,1,4,3 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,12.Nesil,1235U,Windows 11 Home,Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 10 Pro,Yok,0,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Yok,1,4,4 GHz,1920 x 1080,Var,16 GB,256 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Pro,Var,0,4,4 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Harici Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,,0,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Harici Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),,0,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,Paylaüçmlç,Harici Ekran Kartç,IPS,12.Nesil,1255U,Windows 10 Home,,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,Paylaüçmlç,Harici Ekran Kartç,IPS,12.Nesil,1255U,Windows 10 Home,,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,YÅksek
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Yok,0,4,4 GHz,1920 x 1080,,32 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,1,4,7 GHz,1920 x 1080,,32 GB,1 TB,Notebook,Orta
,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Ubuntu,,0,4,7 GHz,1920 x 1080,,16 GB,512 GB,Notebook,Orta
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,12 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Yok,0,4,4 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,2 - 4 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),,0,4,4 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),,0,4,4 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 10 Pro,,0,4,4 GHz,1920 x 1080,Var,16 GB,256 GB,òkisi Bir Arada,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Windows 10 Pro,,0,4,4 GHz,1920 x 1080,Var,16 GB,256 GB,òkisi Bir Arada,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,12.Nesil,1235U,Windows 11 Pro,Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,SVA,12.Nesil,1215U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Var,64 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,12.Nesil,1235U,Ubuntu,Var,0,4,4 GHz,1920 x 1200,Var,16 GB,512 GB,Notebook,YÅksek
4266 MHz,1 - 2 kg,16 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Home,Var,0,4,7 GHz,2560 x 1600,Yok,16 GB,512 GB,òkisi Bir Arada,Orta
4800 MHz,1 - 2 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Yok,1,4,7 GHz,1920 x 1200,Var,64 GB,2 TB,Notebook,Äok YÅksek
4800 MHz,1 - 2 kg,16 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1200,,32 GB,1 TB,Notebook,YÅksek
4800 MHz,1 - 2 kg,16 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1200,,32 GB,1 TB,Notebook,YÅksek
3200 MHz,2 - 4 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1200,Var,16 GB,512 GB,Notebook,Orta
4800 MHz,2 - 4 kg,16 iná,GDDR6,12 GB,YÅksek Seviye Harici Ekran Kartç,Mini LED,13.Nesil,13980HX,Yok (Free Dos),,1,5,6 GHz,2560 x 1600,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,17,3 iná,GDDR6,16 GB,YÅksek Seviye Harici Ekran Kartç,Mini LED,13.Nesil,13980HX,Windows 11 Home,Var,1,5,6 GHz,3840 x 2160,Yok,128 GB,4 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,17,3 iná,GDDR6,16 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13900HX,Yok (Free Dos),Yok,0,5,4 GHz,1920 x 1080,Yok,64 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,18 iná,GDDR6,16 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13980HX,Yok (Free Dos),Yok,0,5,6 GHz,2560 x 1600,Yok,32 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,18,4 iná,GDDR6,16 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13980HX,Yok (Free Dos),,1,5,6 GHz,2560 x 1600,Yok,32 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,18,4 iná,GDDR6,16 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13980HX,Yok (Free Dos),,1,5,6 GHz,2560 x 1600,Yok,32 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,18,4 iná,GDDR6,16 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13980HX,Yok (Free Dos),,1,5,6 GHz,2560 x 1600,Yok,32 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13500H,Yok (Free Dos),,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13500H,Yok (Free Dos),,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,6800H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Orta
